                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.5064,                 16.821,                 4.8133,                 4.3645,                0.00101,                0.30303,                0.00067,                0.00031,                      0,                      0,                      0,                      0,                  3.315,                 5.2012,                 5.1954,                 4.1711,             0.00065278,             0.00065278,             0.00065278
                      2,                 3.0288,                 2.3204,                 3.6152,                 3.5975,                0.00313,                0.93939,                0.06723,                0.01599,                0.00323,                 0.9697,                0.09117,                0.04659,                 2.5271,                 3.1898,                 4.3931,                 3.4989,              0.0013064,              0.0013064,              0.0013064
                      3,                   2.62,                 1.7124,                 3.1687,                 3.0499,                0.03531,                0.18182,                0.02073,                0.00702,                0.04821,                0.21212,                0.02748,                0.01229,                 2.1774,                   9.85,                 6.7204,                 3.1993,              0.0019468,              0.0019468,              0.0019468
                      4,                 2.3037,                 1.3404,                 2.5837,                 2.7515,                0.00178,                0.30303,                0.00138,                0.00065,                0.00178,                0.30303,                0.00138,                0.00102,                  2.469,                 12.444,                 4.3219,                 5.7951,              0.0019406,              0.0019406,              0.0019406
                      5,                  2.014,                 1.0688,                  2.209,                 2.5212,                0.59875,                0.27273,                0.26077,                0.17991,                0.59875,                0.27273,                0.26093,                0.19782,                 2.1455,                 9.1127,                 2.6691,                 5.1897,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.8048,                0.95824,                 1.8423,                 2.2922,                0.63297,                0.18182,                0.22629,                0.13294,                0.63297,                0.18182,                0.22629,                  0.151,                   2.34,                 3.9905,                 3.4847,                 4.1173,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.7415,                0.93469,                 1.6621,                 2.2134,                      1,                0.80743,                0.91434,                0.69173,                      1,                0.80743,                 0.9214,                0.79655,                 1.0086,                0.82221,                 1.1746,                 1.9308,               0.001901,               0.001901,               0.001901
                      8,                 1.4582,                0.80479,                 1.3301,                 2.0477,                0.88273,                 0.6846,                0.89787,                 0.6632,                0.88273,                 0.6846,                0.89849,                0.75378,                0.98699,                0.78941,                 1.3729,                  1.879,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.2911,                0.71664,                 1.2316,                 1.8515,                0.96729,                0.89643,                0.97162,                0.70498,                0.96729,                0.89643,                0.97488,                0.76538,                  1.124,                0.61186,                 1.0375,                 1.7666,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.1548,                0.67634,                 1.1063,                 1.7391,                0.96409,                0.78788,                0.94459,                0.73865,                0.96409,                0.78788,                0.93144,                0.82188,                0.90099,                 1.2948,                0.95522,                 1.6738,              0.0018416,              0.0018416,              0.0018416
                     11,                  1.072,                0.64456,                0.94948,                  1.595,                  0.894,                0.76691,                0.93985,                 0.6859,                  0.894,                0.76691,                0.93985,                0.80477,                0.94529,                0.76209,                 1.0255,                  1.595,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.0215,                 0.6293,                0.94948,                 1.5659,                0.61002,                0.71122,                0.82763,                0.62387,                0.61002,                0.71122,                0.82763,                0.74984,                 0.8484,                0.48334,                 1.3568,                 1.4199,               0.001802,               0.001802,               0.001802
                     13,                0.94194,                 0.5145,                 0.8462,                 1.4944,                 0.9889,                 0.9697,                0.99038,                0.81936,                 0.9889,                 0.9697,                0.99038,                0.87286,                0.61939,                0.60844,                0.69895,                  1.312,              0.0017822,              0.0017822,              0.0017822
                     14,                0.85014,                0.53731,                0.77027,                 1.4052,                 0.9587,                 0.9697,                0.97941,                0.80786,                 0.9587,                 0.9697,                0.97941,                0.90516,                0.61894,                0.43171,                0.75415,                 1.2656,              0.0017624,              0.0017624,              0.0017624
                     15,                 0.8825,                0.56437,                0.75786,                 1.4001,                0.94595,                0.93939,                0.97753,                 0.8053,                0.94595,                0.93939,                0.98382,                0.88596,                0.73819,                0.55096,                0.81046,                 1.3744,              0.0017426,              0.0017426,              0.0017426
                     16,                0.87197,                0.58056,                0.79053,                 1.4171,                0.97253,                0.93939,                0.98824,                0.83507,                0.97253,                0.93939,                0.98824,                0.87992,                0.61887,                0.48477,                0.58176,                  1.262,              0.0017228,              0.0017228,              0.0017228
                     17,                0.80484,                0.53473,                0.77187,                 1.3721,                0.99331,                0.90909,                0.98449,                0.85237,                0.99331,                0.90909,                0.98449,                0.88748,                0.58324,                0.42854,                0.62358,                    1.2,               0.001703,               0.001703,               0.001703
                     18,                0.77091,                0.47326,                0.71217,                 1.3408,                0.94363,                 0.9697,                0.98702,                0.83208,                0.94363,                 0.9697,                0.98702,                0.88847,                0.58119,                0.44407,                0.65972,                 1.1856,              0.0016832,              0.0016832,              0.0016832
                     19,                 0.7776,                0.50792,                0.68602,                  1.355,                0.93345,                 0.9697,                0.98438,                0.84091,                0.93345,                 0.9697,                0.98438,                0.90535,                0.58802,                0.44093,                 0.5233,                 1.1964,              0.0016634,              0.0016634,              0.0016634
                     20,                0.75873,                 0.4786,                 0.6628,                 1.2839,                0.99374,                 0.9697,                0.99329,                0.88201,                0.99374,                 0.9697,                0.99329,                0.94426,                0.51242,                 0.4005,                0.57704,                 1.1262,              0.0016436,              0.0016436,              0.0016436
                     21,                 0.7155,                0.46782,                0.63173,                 1.2773,                0.96194,                 0.9697,                0.99176,                0.88056,                0.96194,                 0.9697,                0.99176,                0.94316,                0.51429,                0.37256,                0.64067,                 1.0996,              0.0016238,              0.0016238,              0.0016238
                     22,                0.62903,                0.46832,                 0.5915,                 1.2102,                      1,                0.96391,                0.99105,                0.90138,                      1,                0.96391,                0.99105,                0.95178,                0.49798,                0.37597,                0.46605,                 1.0993,               0.001604,               0.001604,               0.001604
                     23,                0.62498,                0.43642,                0.58385,                 1.1911,                0.99552,                 0.9697,                0.99412,                0.89088,                0.99552,                 0.9697,                0.99412,                0.95792,                 0.4421,                0.35857,                0.52176,                 1.0547,              0.0015842,              0.0015842,              0.0015842
                     24,                 0.6337,                0.44188,                 0.5575,                 1.1944,                0.99781,                 0.9697,                0.99412,                0.91733,                0.99781,                 0.9697,                0.99412,                0.96128,                0.39118,                0.34052,                0.44617,                 1.0283,              0.0015644,              0.0015644,              0.0015644
                     25,                0.60887,                0.42081,                0.51703,                 1.1542,                      1,                0.99726,                  0.995,                0.91539,                      1,                0.99726,                  0.995,                0.96015,                0.39325,                0.31038,                0.40908,                 1.0099,              0.0015446,              0.0015446,              0.0015446
                     26,                0.58111,                0.44059,                0.51112,                 1.1392,                0.99825,                      1,                  0.995,                0.90574,                0.99825,                      1,                  0.995,                0.94339,                0.42218,                0.40132,                0.43356,                 1.0208,              0.0015248,              0.0015248,              0.0015248
                     27,                0.63825,                0.44192,                0.55144,                 1.1823,                 0.9992,                      1,                  0.995,                0.89052,                 0.9992,                      1,                  0.995,                0.95868,                0.42572,                0.35425,                0.43439,                 1.0078,               0.001505,               0.001505,               0.001505
                     28,                0.58655,                0.44683,                0.50845,                 1.1337,                0.99825,                      1,                  0.995,                0.95868,                0.99825,                      1,                  0.995,                 0.9491,                0.41551,                0.41929,                0.48701,                0.99619,              0.0014852,              0.0014852,              0.0014852
                     29,                 0.6124,                0.44031,                0.54123,                 1.1645,                0.99858,                      1,                  0.995,                0.89273,                0.99858,                      1,                  0.995,                0.94586,                0.55659,                0.36893,                0.41503,                 1.1106,              0.0014654,              0.0014654,              0.0014654
                     30,                0.59962,                0.43337,                0.50142,                   1.12,                0.99791,                      1,                  0.995,                0.91295,                0.99791,                      1,                  0.995,                0.95988,                0.37753,                0.31673,                0.37427,                 0.9734,              0.0014456,              0.0014456,              0.0014456
                     31,                0.56422,                0.41563,                0.48275,                 1.1201,                0.99738,                      1,                  0.995,                 0.8955,                0.99738,                      1,                  0.995,                0.95616,                0.38131,                0.36117,                0.37872,                0.97656,              0.0014258,              0.0014258,              0.0014258
                     32,                0.52638,                 0.4008,                0.48972,                 1.0759,                0.99666,                      1,                  0.995,                0.93562,                0.99666,                      1,                  0.995,                0.97151,                0.35795,                0.29656,                0.35105,                0.95737,               0.001406,               0.001406,               0.001406
                     33,                0.53467,                0.42069,                0.45976,                 1.0647,                0.99515,                      1,                  0.995,                0.91875,                0.99515,                      1,                  0.995,                0.95117,                0.41906,                0.34599,                0.38066,                  0.993,              0.0013862,              0.0013862,              0.0013862
                     34,                 0.5315,                0.42191,                0.45866,                 1.0667,                 0.9973,                      1,                  0.995,                0.92835,                 0.9973,                      1,                  0.995,                0.96806,                0.38781,                 0.2951,                0.34423,                0.96478,              0.0013664,              0.0013664,              0.0013664
                     35,                0.55281,                0.41962,                0.46547,                 1.0821,                0.99529,                      1,                  0.995,                0.90212,                0.99529,                      1,                  0.995,                0.95416,                0.37899,                0.30748,                0.39542,                0.97712,              0.0013466,              0.0013466,              0.0013466
                     36,                0.53062,                0.36797,                0.43511,                 1.0707,                0.99691,                      1,                  0.995,                0.90643,                0.99691,                      1,                  0.995,                 0.9789,                0.34516,                0.29611,                 0.3585,                0.95585,              0.0013268,              0.0013268,              0.0013268
                     37,                0.51534,                0.37709,                0.43868,                 1.0587,                0.99826,                      1,                  0.995,                0.93212,                0.99826,                      1,                  0.995,                0.97125,                0.34794,                0.30557,                0.32741,                0.93933,               0.001307,               0.001307,               0.001307
                     38,                0.51692,                0.39611,                0.43102,                 1.0679,                0.99761,                      1,                  0.995,                0.93259,                0.99761,                      1,                  0.995,                0.96894,                0.34286,                0.34648,                0.31273,                0.94386,              0.0012872,              0.0012872,              0.0012872
                     39,                0.49171,                0.38527,                0.41431,                 1.0476,                0.99686,                      1,                  0.995,                0.92718,                0.99686,                      1,                  0.995,                0.96135,                0.36397,                0.30617,                0.33502,                0.93967,              0.0012674,              0.0012674,              0.0012674
                     40,                0.51403,                0.39489,                0.41803,                 1.0746,                  0.998,                      1,                  0.995,                0.94644,                  0.998,                      1,                  0.995,                 0.9801,                0.43152,                0.27992,                 0.3304,                0.96238,              0.0012476,              0.0012476,              0.0012476
                     41,                0.51885,                0.38678,                0.43525,                 1.0556,                0.99859,                      1,                  0.995,                0.93914,                0.99859,                      1,                  0.995,                0.96119,                0.41478,                0.32327,                0.34796,                0.96212,              0.0012278,              0.0012278,              0.0012278
                     42,                 0.4794,                0.38357,                0.42203,                 1.0481,                0.99729,                      1,                  0.995,                0.94242,                0.99729,                      1,                  0.995,                0.96426,                0.37088,                0.31648,                0.32838,                0.93717,               0.001208,               0.001208,               0.001208
                     43,                0.50763,                0.38154,                0.42425,                 1.0502,                 0.9981,                      1,                  0.995,                0.94808,                 0.9981,                      1,                  0.995,                0.98611,                   0.31,                0.26993,                0.32543,                0.91087,              0.0011882,              0.0011882,              0.0011882
                     44,                0.52866,                0.41847,                0.41735,                 1.0517,                0.99822,                      1,                  0.995,                0.94201,                0.99822,                      1,                  0.995,                0.98834,                 0.3265,                0.28638,                0.29822,                0.91429,              0.0011684,              0.0011684,              0.0011684
                     45,                 0.4896,                0.37709,                0.40165,                  1.036,                0.99837,                      1,                  0.995,                0.96731,                0.99837,                      1,                  0.995,                0.98499,                0.30972,                0.29772,                0.28004,                0.89849,              0.0011486,              0.0011486,              0.0011486
                     46,                0.48222,                0.38491,                0.39667,                 1.0241,                0.99808,                      1,                  0.995,                0.96596,                0.99808,                      1,                  0.995,                0.97806,                0.26574,                0.30264,                0.26506,                0.88808,              0.0011288,              0.0011288,              0.0011288
                     47,                0.46861,                0.36374,                0.38483,                 1.0141,                0.99818,                      1,                  0.995,                0.95016,                0.99818,                      1,                  0.995,                0.97497,                0.27857,                0.31567,                0.28549,                0.89595,               0.001109,               0.001109,               0.001109
                     48,                0.47736,                0.38871,                0.39647,                 1.0217,                0.99841,                      1,                  0.995,                0.98172,                0.99841,                      1,                  0.995,                0.98198,                0.28296,                0.30787,                0.26765,                0.88423,              0.0010892,              0.0010892,              0.0010892
                     49,                0.48375,                0.38408,                0.39385,                 1.0306,                0.99826,                      1,                  0.995,                0.97549,                0.99826,                      1,                  0.995,                0.96928,                0.29887,                0.34958,                0.29313,                0.89026,              0.0010694,              0.0010694,              0.0010694
                     50,                0.44847,                0.39799,                  0.377,                 1.0019,                0.99802,                      1,                  0.995,                0.93054,                0.99802,                      1,                  0.995,                0.96331,                0.30565,                0.28429,                0.26183,                0.90025,              0.0010496,              0.0010496,              0.0010496
                     51,                0.47122,                0.34914,                0.39038,                 1.0138,                 0.9986,                      1,                  0.995,                0.96295,                 0.9986,                      1,                  0.995,                0.97001,                0.33384,                0.30303,                 0.3173,                0.89667,              0.0010298,              0.0010298,              0.0010298
                     52,                0.43384,                0.36881,                0.37828,                 1.0131,                0.99868,                      1,                  0.995,                0.95845,                0.99868,                      1,                  0.995,                0.97845,                0.32441,                0.28791,                0.30753,                0.90683,                0.00101,                0.00101,                0.00101
                     53,                0.43854,                0.35463,                0.37752,                 1.0053,                0.99836,                      1,                  0.995,                0.97715,                0.99836,                      1,                  0.995,                0.98989,                0.29049,                 0.2656,                0.28963,                0.88693,              0.0009902,              0.0009902,              0.0009902
                     54,                0.44969,                0.37324,                0.37681,                0.99858,                0.99826,                      1,                  0.995,                0.95565,                0.99826,                      1,                  0.995,                0.95917,                0.30239,                0.32457,                0.31416,                0.89179,              0.0009704,              0.0009704,              0.0009704
                     55,                0.47864,                 0.3867,                0.38944,                 1.0154,                0.99818,                      1,                  0.995,                0.95921,                0.99818,                      1,                  0.995,                0.96651,                0.26757,                0.30149,                0.26605,                0.87689,              0.0009506,              0.0009506,              0.0009506
                     56,                0.44202,                0.36615,                0.36769,                0.99581,                0.99863,                      1,                  0.995,                0.96669,                0.99863,                      1,                  0.995,                0.98486,                0.27933,                0.29801,                0.27567,                0.88874,              0.0009308,              0.0009308,              0.0009308
                     57,                 0.4154,                0.35205,                0.34638,                0.98273,                0.99856,                      1,                  0.995,                0.95762,                0.99856,                      1,                  0.995,                0.97241,                0.29614,                0.31111,                0.28584,                0.88776,               0.000911,               0.000911,               0.000911
                     58,                 0.4388,                0.34519,                0.36786,                 1.0138,                0.99851,                      1,                  0.995,                0.96214,                0.99851,                      1,                  0.995,                0.96428,                0.33092,                0.30685,                0.25874,                0.89609,              0.0008912,              0.0008912,              0.0008912
                     59,                0.42481,                0.36079,                0.35289,                0.99323,                 0.9986,                      1,                  0.995,                0.95398,                 0.9986,                      1,                  0.995,                0.97424,                0.32319,                0.28277,                0.28623,                 0.8886,              0.0008714,              0.0008714,              0.0008714
                     60,                0.41416,                0.35822,                0.34613,                0.98152,                0.99889,                      1,                  0.995,                0.94276,                0.99889,                      1,                  0.995,                0.95937,                0.32957,                0.27863,                0.27473,                0.90803,              0.0008516,              0.0008516,              0.0008516
                     61,                0.41446,                0.36333,                0.35626,                0.97811,                 0.9988,                      1,                  0.995,                0.95815,                 0.9988,                      1,                  0.995,                0.97337,                0.29821,                0.28214,                0.25617,                0.88342,              0.0008318,              0.0008318,              0.0008318
                     62,                0.42208,                0.35429,                0.34271,                0.97825,                0.99866,                      1,                  0.995,                0.97491,                0.99866,                      1,                  0.995,                0.96903,                0.27465,                0.29042,                0.29153,                 0.8837,               0.000812,               0.000812,               0.000812
                     63,                0.43213,                0.36227,                0.35801,                0.98459,                0.99848,                      1,                  0.995,                0.97728,                0.99848,                      1,                  0.995,                0.96516,                0.26434,                0.30101,                0.27937,                0.86484,              0.0007922,              0.0007922,              0.0007922
                     64,                0.43033,                0.35626,                0.35314,                0.98634,                0.99844,                      1,                  0.995,                0.97594,                0.99844,                      1,                  0.995,                0.96922,                0.25773,                0.30622,                0.26759,                0.86089,              0.0007724,              0.0007724,              0.0007724
                     65,                0.37709,                0.33436,                0.33038,                0.95278,                0.99855,                      1,                  0.995,                0.97961,                0.99855,                      1,                  0.995,                0.97061,                0.25212,                   0.29,                0.24394,                 0.8574,              0.0007526,              0.0007526,              0.0007526
                     66,                0.41297,                0.34206,                0.34043,                0.98174,                      1,                 0.9979,                  0.995,                0.97971,                      1,                 0.9979,                  0.995,                0.98218,                0.23758,                0.28176,                0.22861,                0.85232,              0.0007328,              0.0007328,              0.0007328
                     67,                0.43113,                0.33113,                0.34898,                 1.0035,                      1,                0.99578,                  0.995,                0.95731,                      1,                0.99578,                  0.995,                0.96259,                0.26148,                0.28309,                0.25092,                0.86529,               0.000713,               0.000713,               0.000713
                     68,                0.36752,                0.34345,                0.31181,                0.94737,                0.99872,                      1,                  0.995,                0.98493,                0.99872,                      1,                  0.995,                0.97231,                0.26811,                 0.2973,                0.27219,                0.85916,              0.0006932,              0.0006932,              0.0006932
                     69,                 0.3808,                0.34454,                0.32993,                0.96682,                0.99848,                      1,                  0.995,                0.97598,                0.99848,                      1,                  0.995,                0.97738,                0.24315,                0.30747,                0.24228,                0.85885,              0.0006734,              0.0006734,              0.0006734
                     70,                0.38645,                0.37546,                0.31704,                0.94335,                0.99856,                      1,                  0.995,                0.98946,                0.99856,                      1,                  0.995,                0.97287,                0.23963,                0.28025,                0.25945,                0.84776,              0.0006536,              0.0006536,              0.0006536
                     71,                0.37565,                0.34874,                0.31504,                0.94814,                0.99866,                      1,                  0.995,                0.98349,                0.99866,                      1,                  0.995,                0.96862,                0.24701,                0.26473,                0.26319,                0.85228,              0.0006338,              0.0006338,              0.0006338
                     72,                0.38182,                0.34656,                0.31458,                0.95556,                0.99854,                      1,                  0.995,                0.98201,                0.99854,                      1,                  0.995,                0.98064,                0.25862,                 0.2752,                0.24344,                0.85382,               0.000614,               0.000614,               0.000614
                     73,                0.36755,                 0.3479,                0.32055,                0.94826,                0.99849,                      1,                  0.995,                0.98621,                0.99849,                      1,                  0.995,                0.97316,                0.23782,                0.27219,                0.23054,                0.85424,              0.0005942,              0.0005942,              0.0005942
                     74,                0.37779,                 0.3494,                0.31403,                0.94828,                0.99851,                      1,                  0.995,                0.98623,                0.99851,                      1,                  0.995,                0.98163,                0.25462,                0.29113,                0.24217,                0.85255,              0.0005744,              0.0005744,              0.0005744
                     75,                0.38361,                0.32291,                0.31129,                0.94933,                0.99834,                      1,                  0.995,                0.98236,                0.99834,                      1,                  0.995,                0.98228,                0.25312,                0.26708,                0.21693,                0.84784,              0.0005546,              0.0005546,              0.0005546
                     76,                0.37151,                0.34531,                0.31203,                0.94989,                0.99841,                      1,                  0.995,                0.99073,                0.99841,                      1,                  0.995,                0.97259,                  0.247,                0.26765,                0.23129,                0.83964,              0.0005348,              0.0005348,              0.0005348
                     77,                0.34799,                0.32658,                0.29365,                0.92947,                0.99845,                      1,                  0.995,                0.98499,                0.99845,                      1,                  0.995,                0.97418,                0.23591,                0.26414,                0.23252,                0.84158,               0.000515,               0.000515,               0.000515
                     78,                0.36534,                0.34192,                0.31087,                0.94981,                0.99853,                      1,                  0.995,                0.97958,                0.99853,                      1,                  0.995,                0.97785,                0.24536,                0.25851,                0.20379,                0.84438,              0.0004952,              0.0004952,              0.0004952
                     79,                0.35412,                0.34499,                0.29864,                0.92281,                0.99851,                      1,                  0.995,                0.97822,                0.99851,                      1,                  0.995,                0.98328,                0.24922,                0.26246,                0.24163,                0.84531,              0.0004754,              0.0004754,              0.0004754
                     80,                0.37079,                0.34421,                0.30329,                0.94237,                0.99854,                      1,                  0.995,                0.97311,                0.99854,                      1,                  0.995,                0.98084,                0.24375,                0.24557,                0.23481,                0.84367,              0.0004556,              0.0004556,              0.0004556
                     81,                0.34803,                0.32508,                0.29122,                0.93404,                0.99864,                      1,                  0.995,                0.98935,                0.99864,                      1,                  0.995,                0.98465,                0.20947,                0.26174,                0.20842,                0.82743,              0.0004358,              0.0004358,              0.0004358
                     82,                0.37765,                0.32181,                0.30465,                0.94905,                 0.9987,                      1,                  0.995,                0.98147,                 0.9987,                      1,                  0.995,                0.98182,                0.23481,                0.25914,                0.23032,                 0.8417,               0.000416,               0.000416,               0.000416
                     83,                0.37392,                0.35562,                 0.3093,                0.95896,                0.99864,                      1,                  0.995,                0.98597,                0.99864,                      1,                  0.995,                0.97894,                 0.2459,                0.28533,                0.23457,                0.84684,              0.0003962,              0.0003962,              0.0003962
                     84,                0.34902,                0.32929,                0.29547,                 0.9275,                0.99847,                      1,                  0.995,                0.98373,                0.99847,                      1,                  0.995,                0.98286,                0.24156,                0.26257,                0.22393,                0.84004,              0.0003764,              0.0003764,              0.0003764
                     85,                 0.3565,                0.33584,                0.29356,                0.95064,                0.99859,                      1,                  0.995,                0.98378,                0.99859,                      1,                  0.995,                0.98355,                0.23362,                0.28789,                0.20462,                0.83742,              0.0003566,              0.0003566,              0.0003566
                     86,                0.34543,                0.33637,                0.29472,                0.92651,                0.99849,                      1,                  0.995,                 0.9856,                0.99849,                      1,                  0.995,                0.97276,                0.22933,                0.25954,                0.21728,                0.83255,              0.0003368,              0.0003368,              0.0003368
                     87,                0.35952,                0.36836,                0.30195,                0.93129,                0.99849,                      1,                  0.995,                0.98897,                0.99849,                      1,                  0.995,                0.97594,                0.22362,                0.27776,                0.20383,                0.83352,               0.000317,               0.000317,               0.000317
                     88,                0.32336,                0.32152,                0.27532,                0.91787,                0.99848,                      1,                  0.995,                0.98696,                0.99848,                      1,                  0.995,                0.98112,                0.21643,                0.26558,                0.23449,                0.82878,              0.0002972,              0.0002972,              0.0002972
                     89,                0.33775,                0.31962,                0.27835,                0.93323,                0.99843,                      1,                  0.995,                0.99073,                0.99843,                      1,                  0.995,                0.97496,                0.21924,                0.26126,                0.20814,                0.83131,              0.0002774,              0.0002774,              0.0002774
                     90,                0.32489,                0.31481,                0.27648,                0.92584,                0.99841,                      1,                  0.995,                0.98391,                0.99841,                      1,                  0.995,                0.97668,                0.22038,                0.25306,                0.20969,                0.83213,              0.0002576,              0.0002576,              0.0002576
                     91,                0.24373,                0.29626,                0.23074,                0.84456,                0.99844,                      1,                  0.995,                0.98767,                0.99844,                      1,                  0.995,                0.97611,                0.21925,                 0.2667,                0.25036,                0.83013,              0.0002378,              0.0002378,              0.0002378
                     92,                0.25014,                0.29927,                0.23102,                 0.8506,                0.99839,                      1,                  0.995,                0.99007,                0.99839,                      1,                  0.995,                 0.9797,                0.22016,                0.26262,                 0.2157,                0.82293,               0.000218,               0.000218,               0.000218
                     93,                0.24588,                0.28998,                0.21859,                0.84547,                0.99844,                      1,                  0.995,                0.99063,                0.99844,                      1,                  0.995,                0.99022,                0.22482,                0.25672,                0.22615,                0.82586,              0.0001982,              0.0001982,              0.0001982
                     94,                0.23461,                0.28896,                0.21955,                0.86032,                0.99839,                      1,                  0.995,                0.99023,                0.99839,                      1,                  0.995,                0.98188,                0.23039,                 0.2712,                0.21159,                0.82543,              0.0001784,              0.0001784,              0.0001784
                     95,                0.22356,                0.28999,                0.21106,                 0.8446,                0.99848,                      1,                  0.995,                0.99376,                0.99848,                      1,                  0.995,                0.98572,                0.20698,                0.26685,                0.21687,                0.81502,              0.0001586,              0.0001586,              0.0001586
                     96,                0.22608,                0.29542,                 0.2118,                0.83462,                0.99847,                      1,                  0.995,                0.99155,                0.99847,                      1,                  0.995,                0.98632,                0.20897,                  0.266,                0.20447,                0.81404,              0.0001388,              0.0001388,              0.0001388
                     97,                0.22086,                0.28932,                0.20886,                0.83374,                0.99843,                      1,                  0.995,                0.99081,                0.99843,                      1,                  0.995,                0.98645,                0.19997,                 0.2679,                0.20697,                 0.8162,               0.000119,               0.000119,               0.000119
                     98,                0.21628,                0.29347,                0.20705,                0.84898,                0.99842,                      1,                  0.995,                  0.995,                0.99842,                      1,                  0.995,                0.98597,                0.19186,                 0.2596,                0.19266,                0.80964,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.21026,                0.29393,                0.20183,                0.82692,                0.99844,                      1,                  0.995,                0.99335,                0.99844,                      1,                  0.995,                0.98292,                0.20409,                0.26416,                0.18302,                0.81101,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.21492,                0.28579,                 0.2089,                0.84633,                0.99844,                      1,                  0.995,                  0.995,                0.99844,                      1,                  0.995,                0.98864,                0.19224,                0.25911,                0.17486,                0.80813,               5.96e-05,               5.96e-05,               5.96e-05
